Sensor,Variant,Temp (C),Voltage (V),LSBs Used,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
B2,B,40,3.3,3,0.7631175832261105,0.9242897292558384,30000000,7496078,0.2498692666666666,0.5001428747139505,172,188,0.9148936170212766
B2,B,40,5.0,3,0.915603647276109,0.9079034336128768,30000000,7505780,0.2501926666666667,0.4998298644511296,166,188,0.8829787234042553
B3,B,0,3.3,3,0.9136335469707012,0.8924225036808952,30000000,7493518,0.2497839333333333,0.5002141851130537,172,188,0.9148936170212766
B3,B,0,5.0,3,0.91353732731575,0.9085903406160862,30000000,7502041,0.2500680333333333,0.4997959888515672,171,188,0.9095744680851064
B3,B,24,3.3,3,0.9179642037189762,0.8835032282348413,30000000,7496388,0.2498796,0.4997497461444098,175,188,0.9308510638297872
B3,B,24,5.0,3,0.897685003165282,0.9008570150462242,30000000,7516064,0.2505354666666666,0.500023682608344,173,188,0.9202127659574468
B3,B,40,3.3,3,0.9067391404918902,0.8985685914578952,30000000,7478892,0.2492964,0.4999417025944485,173,188,0.9202127659574468
B3,B,40,5.0,3,0.9102968758267376,0.8922669116373386,30000000,7494770,0.2498256666666666,0.4998538981182878,180,188,0.9574468085106383
B4,B,0,3.3,3,0.9129763068744512,0.8918283899099665,30000000,7485703,0.2495234333333333,0.5000226431639085,174,188,0.925531914893617
B4,B,0,5.0,3,0.929947694423003,0.9059743675669788,30000000,7500848,0.2500282666666666,0.4999530719726623,165,188,0.8776595744680851
B4,B,24,3.3,3,0.778393364329396,0.9060448175080246,30000000,7491980,0.2497326666666666,0.499687799486918,174,188,0.925531914893617
B4,B,24,5.0,3,0.9171367899179884,0.8937211138825677,30000000,7520611,0.2506870333333333,0.4998083267436648,164,188,0.8723404255319149
B4,B,40,3.3,3,0.73587857582244,0.9050235120090973,30000000,7492932,0.2497644,0.4999713062923833,174,188,0.925531914893617
B4,B,40,5.0,3,0.826649566515537,0.903638874184018,30000000,7479204,0.2493068,0.4999812814304837,176,188,0.9361702127659576
B5,B,0,3.3,3,0.921964237396252,0.8999218590280731,30000000,7493806,0.2497935333333333,0.4996683928033365,173,188,0.9202127659574468
B5,B,0,5.0,3,0.9328759079723598,0.9132671924077024,30000000,7496802,0.2498934,0.5001473961830658,168,188,0.8936170212765957
B5,B,24,3.3,3,0.909085555072681,0.911147225676358,30000000,7487411,0.2495803666666666,0.5000062104244044,177,188,0.9414893617021276
B5,B,24,5.0,3,0.907087454953684,0.872296596809179,30000000,7499474,0.2499824666666666,0.4997847849062481,177,188,0.9414893617021276
B5,B,40,5.0,3,0.9022058964468432,0.9016879247808496,30000000,7509021,0.2503007,0.5001305762761883,179,188,0.9521276595744681
B6,B,0,3.3,3,0.9158340697995052,0.8994950125843942,30000000,7486551,0.2495517,0.499949976965361,175,188,0.9308510638297872
B6,B,0,5.0,3,0.8913849342036911,0.9181540033533856,30000000,7487873,0.2495957666666666,0.4999853763545402,171,188,0.9095744680851064
B6,B,24,3.3,3,0.890115967143112,0.8881089443823933,30000000,7522883,0.2507627666666667,0.5002051740004464,168,188,0.8936170212765957
B6,B,24,5.0,3,0.9059380478358486,0.8903459074161373,30000000,7488940,0.2496313333333333,0.4998177312142973,179,188,0.952127659574468
B6,B,40,5.0,3,0.9154826174247783,0.893874866014178,30000000,7510698,0.2503566,0.5000599145379031,173,188,0.9202127659574468
C1,C,0,3.3,3,0.9028556531552412,0.8774286486994489,30000000,7500316,0.2500105333333333,0.499935202730125,174,188,0.925531914893617
C1,C,0,5.0,3,0.9262802899740268,0.8932615544189023,30000000,7501032,0.2500344,0.4997685651787647,173,188,0.9202127659574468
C1,C,24,3.3,3,0.9191981913687568,0.8867301577674475,30000000,7504695,0.2501565,0.4998028567450109,170,188,0.9042553191489362
C1,C,24,5.0,3,0.9197709767519632,0.8983330727862183,30000000,7498006,0.2499335333333333,0.4997003203251637,172,188,0.9148936170212766
C1,C,40,5.0,3,0.9161486197372947,0.9120183301574174,30000000,7506379,0.2502126333333333,0.49979344235083256,172,188,0.9148936170212766
C2,C,0,3.3,3,0.7437808362356743,0.8951811159267978,30000000,7501698,0.2500566,0.5004183052956811,176,188,0.9361702127659576
C2,C,0,5.0,3,0.8908900796158385,0.9012951842537932,30000000,7500846,0.2500282,0.4999216088425225,175,188,0.9308510638297872
C2,C,24,3.3,3,0.8184223245100929,0.9242781554697594,30000000,7502434,0.2500811333333333,0.4999241579466077,172,188,0.9148936170212766
C2,C,24,5.0,3,0.8843287617060981,0.9025742665124946,30000000,7499821,0.2499940333333333,0.4998381961382812,171,188,0.9095744680851064
C2,C,40,3.3,3,0.6644757624249454,0.9072446350277614,30000000,7504071,0.2501357,0.5001663763575798,145,188,0.7712765957446809
C2,C,40,5.0,3,0.9096773457518847,0.9052222527462256,30000000,7500820,0.2500273333333333,0.5000877237422042,180,188,0.9574468085106383
C3,C,0,3.3,3,0.898332907965182,0.926544589926912,30000000,7499101,0.2499700333333333,0.4996705605111866,171,188,0.9095744680851064
C3,C,0,5.0,3,0.898811611797489,0.8860116316447147,30000000,7475224,0.2491741333333333,0.4997629502473772,170,188,0.9042553191489362
C3,C,24,3.3,3,0.9010574738864252,0.9063407294745196,30000000,7496220,0.249874,0.4998589956004493,176,188,0.9361702127659576
C3,C,24,5.0,3,0.9099580910646676,0.9174908595294866,30000000,7504990,0.2501663333333333,0.5000289140958216,165,188,0.8776595744680851
C3,C,40,5.0,3,0.9123068161930185,0.892058534601169,30000000,7490541,0.2496847,0.5000549359518892,175,188,0.9308510638297872
C4,C,0,3.3,3,0.8932268310490401,0.8766303217645711,30000000,7498409,0.2499469666666666,0.5001303609872441,178,188,0.946808510638298
