Sensor,Variant,Temp (C),Voltage (V),LSBs Used,Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate,VN Min-Entropy (bits/bit)
B2,B,40,3.3,1,0.9106118770562236,10000000,2501421,0.2501421,0.500251656958185,187,188,0.9946808510638298,0.8697936886238589
B2,B,40,5.0,1,0.8993036642614629,10000000,2500330,0.250033,0.4995196634044306,188,188,1.0,0.8850710328272835
B3,B,0,3.3,1,0.8875641742205179,10000000,2501805,0.2501805,0.5004838506598236,188,188,1.0,0.9224915164968972
B3,B,0,5.0,1,0.9125115894181498,10000000,2499316,0.2499316,0.5001576431311607,188,188,1.0,0.8749025144910393
B3,B,24,3.3,1,0.9253198601543589,10000000,2498139,0.2498139,0.4996099096167187,188,188,1.0,0.8940224162133666
B3,B,24,5.0,1,0.9018989931189896,10000000,2498572,0.2498572,0.4999687821683746,188,188,1.0,0.8723464592321156
B3,B,40,3.3,1,0.8904271091020434,10000000,2501237,0.2501237,0.4999626184963679,188,188,1.0,0.8564981945614645
B3,B,40,5.0,1,0.91301101404268,10000000,2499590,0.249959,0.500158425981861,187,188,0.9946808510638298,0.8715563776859842
B4,B,0,3.3,1,0.8983257883130719,10000000,2498586,0.2498586,0.5001300735696109,188,188,1.0,0.8598962678265291
B4,B,0,5.0,1,0.8956023965905674,10000000,2501005,0.2501005,0.4998626552126045,188,188,1.0,0.8849273904008564
B4,B,24,3.3,1,0.8962522736356293,10000000,2499858,0.2499858,0.4994775703259945,188,188,1.0,0.8712525994906825
B4,B,24,5.0,1,0.8961247402303423,10000000,2500494,0.2500494,0.4995164955404812,188,188,1.0,0.8969944903622181
B4,B,40,3.3,1,0.907101641303215,10000000,2498222,0.2498222,0.5000924657616497,188,188,1.0,0.8953433594532219
B4,B,40,5.0,1,0.889024553197279,10000000,2500222,0.2500222,0.4998120166929177,188,188,1.0,0.8557258378132572
B5,B,0,3.3,1,0.8887107776625447,10000000,2498370,0.249837,0.5000756493233588,187,188,0.9946808510638298,0.8987536807593378
B5,B,0,5.0,1,0.8882704340395281,10000000,2500128,0.2500128,0.4996408183900984,186,188,0.9893617021276596,0.8752457340312306
B5,B,24,3.3,1,0.9031405252542114,10000000,2498718,0.2498718,0.4999363673691869,188,188,1.0,0.8937113240960196
B5,B,24,5.0,1,0.8954698681328624,10000000,2498995,0.2498995,0.4997625045268198,188,188,1.0,0.8671634766804698
B5,B,40,5.0,1,0.905087478834036,10000000,2500706,0.2500706,0.5002559277260101,187,188,0.9946808510638298,0.898514696037107
B6,B,0,3.3,1,0.9098480206614936,10000000,2501378,0.2501378,0.5001415219930774,188,188,1.0,0.8782990311428555
B6,B,0,5.0,1,0.9162798603841428,10000000,2500270,0.250027,0.4999260079911369,188,188,1.0,0.9250362034582889
B6,B,24,3.3,1,0.9042062711829368,10000000,2501800,0.25018,0.5001299064673436,188,188,1.0,0.892087281580206
B6,B,24,5.0,1,0.9030722151292072,10000000,2502256,0.2502256,0.5000071935085778,187,188,0.9946808510638298,0.8732886695892983
B6,B,40,5.0,1,0.8803499091750391,10000000,2499484,0.2499484,0.5002848587948553,187,188,0.9946808510638298,0.8560186619645519
C1,C,0,3.3,1,0.931579392008835,10000000,2501542,0.2501542,0.4995370855256478,188,188,1.0,0.8456170466363487
C1,C,0,5.0,1,0.921103373508302,10000000,2502179,0.2502179,0.4997276373912498,188,188,1.0,0.9155480791526172
C1,C,24,3.3,1,0.8976999754766256,10000000,2500636,0.2500636,0.4996460900346952,162,162,1.0,0.8542535040174895
C1,C,24,5.0,1,0.9099375492691606,10000000,2498973,0.2498973,0.5000686281924615,187,188,0.9946808510638298,0.8958747786743023
C1,C,40,5.0,1,0.9123127273811563,10000000,2500208,0.2500208,0.5000063994675643,188,188,1.0,0.9093043354274059
C2,C,0,3.3,1,0.8763926306705535,10000000,2502373,0.2502373,0.5001324742554367,188,188,1.0,0.8792286374034634
C2,C,0,5.0,1,0.8992766353437976,10000000,2499527,0.2499527,0.4996229286581021,188,188,1.0,0.8453597299472215
C2,C,24,3.3,1,0.9028657075124792,10000000,2499241,0.2499241,0.500081824842022,188,188,1.0,0.8652607866537411
C2,C,24,5.0,1,0.9240617536904766,10000000,2497573,0.2497573,0.4994216385266817,188,188,1.0,0.8460744980899365
C2,C,40,3.3,1,0.8999418242741933,10000000,2500945,0.2500945,0.5004472309467022,188,188,1.0,0.8738117124028282
C2,C,40,5.0,1,0.8997325975541156,10000000,2500171,0.2500171,0.5003041791941432,188,188,1.0,0.8732065598582501
C3,C,0,3.3,1,0.9116999919685156,10000000,2497576,0.2497576,0.4996945037908756,188,188,1.0,0.9218871655144928
C3,C,0,5.0,1,0.9068285822834544,10000000,2501331,0.2501331,0.5000653651995678,187,188,0.9946808510638298,0.8716821707198997
C3,C,24,3.3,1,0.9074197516875409,10000000,2496928,0.2496928,0.4998325942918658,188,188,1.0,0.8965557442119737
C3,C,24,5.0,1,0.9080599350321154,10000000,2501311,0.2501311,0.5001285325975059,187,188,0.9946808510638298,0.8930067300032931
C3,C,40,5.0,1,0.9264824369597843,10000000,2497809,0.2497809,0.4999209307036687,188,188,1.0,0.8900149161703911
C4,C,0,3.3,1,0.8756597256062576,10000000,2499528,0.2499528,0.500073613898304,188,188,1.0,0.8644655170764279
C4,C,0,5.0,1,0.9180586480775972,10000000,2499345,0.2499345,0.4998765676607271,187,188,0.9946808510638298,0.8805983234292084
C4,C,24,3.3,1,0.901445029915362,10000000,2498391,0.2498391,0.5003980561889633,187,188,0.9946808510638298,0.8722170191033064
C4,C,24,5.0,1,0.9371508134688236,10000000,2500221,0.2500221,0.5002557773892787,187,188,0.9946808510638298,0.8998098025813509
C4,C,40,5.0,1,0.9106469640793007,10000000,2499395,0.2499395,0.500286269277165,188,188,1.0,0.8713339926829139
C5,C,0,3.3,1,0.889054422168571,10000000,2500364,0.2500364,0.5001871727476479,188,188,1.0,0.910044252848929
C5,C,0,5.0,1,0.9301734959798482,10000000,2498662,0.2498662,0.4998959443093944,188,188,1.0,0.904343852802118
C5,C,24,3.3,1,0.9288974562542268,10000000,2500005,0.2500005,0.5006521986956026,188,188,1.0,0.85801349771726
C5,C,24,5.0,1,0.9178716377747832,10000000,2498640,0.249864,0.500546297185669,187,188,0.9946808510638298,0.89313394873147
C5,C,40,5.0,1,0.9260221214319632,10000000,2500121,0.2500121,0.5002641872133389,188,188,1.0,0.8672560388320344
C6,C,0,3.3,1,0.9042736160562164,10000000,2500645,0.2500645,0.5007328109347788,187,188,0.9946808510638298,0.8776680555355796
C6,C,0,5.0,1,0.8997355245345241,10000000,2501387,0.2501387,0.5001281289140784,188,188,1.0,0.8792261258737143
C6,C,24,3.3,1,0.8940854994538072,10000000,2497847,0.2497847,0.5002460118654185,188,188,1.0,0.8619965151065871
C6,C,24,5.0,1,0.8839342548337119,10000000,2499189,0.2499189,0.4997881312697839,188,188,1.0,0.8847127981649915
C6,C,40,5.0,1,0.8779965208493247,10000000,2502034,0.2502034,0.4997378133150868,5,162,0.030864197530864196,0.8934700155197862
