Sensor,Variant,Temp (C),Voltage (V),Bit Position,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A4,A,24,3.3,2,0.9290743405918708,0.8625896837211203,10000000,2500600,0.25006,0.5005098776293689,187,188,0.9946808510638298
A4,A,24,5.0,2,0.9324180306442428,0.8812896002717426,10000000,2499460,0.249946,0.5003820825298264,188,188,1.0
A5,A,0,3.3,2,0.8500435849995925,0.8716407387528347,10000000,2492633,0.2492633,0.4999965899512684,188,188,1.0
A5,A,0,5.0,2,0.9172415946475861,0.8743127544201297,10000000,2501033,0.2501033,0.5000277885177844,188,188,1.0
A5,A,24,3.3,2,0.737831290246899,0.865594562560697,10000000,2462896,0.2462896,0.5000661822504888,188,188,1.0
A5,A,24,5.0,2,0.9097296927247239,0.8417892266771783,10000000,2499533,0.2499533,0.49913963928461835,161,162,0.9938271604938271
A6,A,0,3.3,2,0.9226689266606056,0.9175591503494304,10000000,2498940,0.249894,0.5000264111983481,188,188,1.0
A6,A,0,5.0,2,0.9005183437313705,0.8518324667048714,10000000,2500653,0.2500653,0.5003325131475659,187,188,0.9946808510638298
A6,A,24,3.3,2,0.8097778817290364,0.87588866103198,10000000,2480938,0.2480938,0.5002716714403987,188,188,1.0
A6,A,24,5.0,2,0.8972727846084125,0.8677013374562063,10000000,2497616,0.2497616,0.4999927931275264,188,188,1.0
A7,A,0,3.3,2,0.9035791274184928,0.8793407404240757,10000000,2501248,0.2501248,0.5004517744741825,188,188,1.0
A7,A,0,5.0,2,0.9094229306742044,0.8846715922063173,10000000,2501240,0.250124,0.4998916537397451,187,188,0.9946808510638298
A7,A,24,3.3,2,0.8981939362324525,0.9034806405888856,10000000,2501771,0.2501771,0.5002352333606873,187,188,0.9946808510638298
A7,A,24,5.0,2,0.9095563507266279,0.871156813905118,10000000,2500706,0.2500706,0.49971488051774177,188,188,1.0
B1,B,0,3.3,2,0.8661812636926561,0.8853497893918206,10000000,2499418,0.2499418,0.5005185207116216,186,188,0.9893617021276596
B1,B,0,5.0,2,0.9066429285933804,0.8715606446741284,10000000,2498269,0.2498269,0.5003084135455389,188,188,1.0
B1,B,24,3.3,2,0.6926755767172934,0.8843629914134801,10000000,2467663,0.2467663,0.4999734566673002,188,188,1.0
B1,B,24,5.0,2,0.8045153130798038,0.8770067387664136,10000000,2488312,0.2488312,0.5003006053903208,187,188,0.9946808510638298
B1,B,40,3.3,2,0.6883140265466557,0.9011936283531746,10000000,2453220,0.245322,0.4999555685996364,162,162,1.0
B1,B,40,5.0,2,0.8002676132891282,0.90191623016848,10000000,2495020,0.249502,0.49996953932233,187,188,0.9946808510638298
B2,B,0,3.3,2,0.8141175748219452,0.8532226709246006,10000000,2493270,0.249327,0.4998552102259282,187,188,0.9946808510638298
B2,B,0,5.0,2,0.8994376249456669,0.866253953043637,10000000,2498387,0.2498387,0.4996835958560463,188,188,1.0
B2,B,24,3.3,2,0.8625222453754136,0.8731716466307313,10000000,2499145,0.2499145,0.5008292836149963,188,188,1.0
B2,B,24,5.0,2,0.8828338499408358,0.912680316361477,10000000,2496544,0.2496544,0.5005655818603638,188,188,1.0
B2,B,40,3.3,2,0.7756046234590271,0.8297497928804334,10000000,2436718,0.2436718,0.5005507407915073,188,188,1.0
B2,B,40,5.0,2,0.8990427453058087,0.8710423180298319,10000000,2499864,0.2499864,0.5000664036123565,188,188,1.0
B3,B,0,3.3,2,0.9195982714305104,0.8703855389881939,10000000,2501807,0.2501807,0.5003471490806445,188,188,1.0
B3,B,0,5.0,2,0.8965160134453473,0.8667873770365461,10000000,2500262,0.2500262,0.4998532153830278,187,188,0.9946808510638298
B3,B,24,3.3,2,0.9148368226787804,0.8555035093561639,10000000,2498919,0.2498919,0.5001434620329831,187,188,0.9946808510638298
B3,B,24,5.0,2,0.9213278506467174,0.89271402312251,10000000,2499217,0.2499217,0.5001446453029089,185,188,0.9840425531914894
